Country,Country Code,Combined Suicide Rate,Male Suicide Rate,Female Suicide Rate
Afghanistan,AFG,4.7,7.6,1.5
Albania,ALB,6.3,7.9,4.7
Algeria,DZA,3.2,4.7,1.7
Angola,AGO,4.7,7.0,2.5
Antigua and Barbuda,ATG,0.5,0.0,0.9
Argentina,ARG,9.2,15.1,3.5
Armenia,ARM,6.6,10.8,2.8
Australia,AUS,13.2,19.5,7.0
Austria,AUT,15.6,23.9,7.7
Azerbaijan,AZE,2.6,4.2,1.1
Bahamas,BHS,1.7,3.0,0.5
Bahrain,BHR,5.9,8.4,1.9
Bangladesh,BGD,5.9,4.7,7.0
Barbados,BRB,0.8,1.0,0.5
Belarus,BLR,26.2,46.9,8.2
Belgium,BEL,20.7,27.8,13.8
Belize,BLZ,4.7,7.9,1.6
Benin,BEN,9.9,13.9,5.9
Bhutan,BTN,11.4,14.0,8.5
Bolivia (Plurinational State of),BOL,12.2,15.8,8.6
Bosnia and Herzegovina,BIH,8.8,14.1,3.6
Botswana,BWA,9.3,14.2,4.5
Brazil,BRA,6.5,10.0,3.1
Brunei Darussalam,BRN,4.6,6.4,2.7
Bulgaria,BGR,11.5,18.2,5.1
Burkina Faso,BFA,7.7,10.2,5.3
Burundi,BDI,9.1,13.4,4.9
Cabo Verde,CPV,11.3,16.5,6.1
Cambodia,KHM,5.3,7.8,2.9
Cameroon,CMR,12.2,17.1,7.4
Canada,CAN,12.5,18.1,7.0
Central African Republic,CAF,7.7,11.5,4.0
Chad,TCD,8.8,10.3,7.4
Chile,CHL,10.6,17.2,4.0
China,CHN,9.7,9.1,10.3
Colombia,COL,7.2,11.6,2.8
Comoros,COM,6.8,9.9,3.6
Congo,COG,5.9,8.4,3.3
Costa Rica,CRI,7.9,13.5,2.4
Croatia,HRV,16.5,25.6,7.9
Cuba,CUB,13.9,22.1,5.8
Cyprus,CYP,5.3,8.2,2.3
Czechia,CZE,13.1,21.4,5.1
Côte d'Ivoire,CIV,14.5,20.6,8.3
Democratic People's Republic of Korea,PRK,11.2,14.1,8.5
Democratic Republic of the Congo,COD,5.7,8.4,2.9
Denmark,DNK,12.8,17.3,8.2
Djibouti,DJI,6.7,9.0,4.3
Dominican Republic,DOM,9.9,16.8,3.1
Ecuador,ECU,7.1,10.3,3.9
Egypt,EGY,4.0,6.4,1.5
El Salvador,SLV,13.7,24.2,4.5
Equatorial Guinea,GNQ,16.4,23.5,7.7
Eritrea,ERI,7.9,12.3,3.6
Estonia,EST,17.8,30.6,6.6
Eswatini,SWZ,13.3,19.5,7.5
Ethiopia,ETH,7.2,11.2,3.1
Fiji,FJI,5.0,7.5,2.4
Finland,FIN,15.9,23.9,8.1
France,FRA,17.7,23.9,11.7
Gabon,GAB,7.1,10.7,3.2
Gambia,GMB,5.1,6.6,3.7
Georgia,GEO,8.2,14.2,2.7
Germany,DEU,13.6,19.7,7.7
Ghana,GHA,5.4,8.7,2.1
Greece,GRC,5.0,8.1,2.0
Grenada,GRD,1.7,1.5,1.9
Guatemala,GTM,2.7,3.7,1.8
Guinea,GIN,6.3,7.5,5.0
Guinea-Bissau,GNB,4.0,4.7,3.3
Guyana,GUY,29.2,43.7,14.4
Haiti,HTI,11.7,17.0,6.5
Honduras,HND,2.9,4.4,1.5
Hungary,HUN,19.1,29.7,9.6
Iceland,ISL,14.0,22.3,5.6
India,IND,16.3,17.8,14.7
Indonesia,IDN,3.4,4.8,2.0
Iran (Islamic Republic of),IRN,4.1,5.0,3.1
Iraq,IRQ,3.0,3.4,2.6
Ireland,IRL,11.5,18.5,4.6
Israel,ISR,5.4,8.1,2.7
Italy,ITA,8.2,12.1,4.5
Jamaica,JAM,2.2,3.3,1.0
Japan,JPN,18.5,26.0,11.4
Jordan,JOR,2.9,3.6,2.2
